,Gender,Event,Location,Year,Medal,Name,Nationality,Result,Type,Clean_Result
1817,W,200M,Helsinki,1952,S,Bertha BROUWER,NED,24.2,seconds,24.2
1818,W,200M,Helsinki,1952,B,Nadezhda KHNYKINA,URS,24.2,seconds,24.2
1867,M,200M,Helsinki,1952,G,Andy STANFIELD,USA,20.7,seconds,20.7
1870,M,200M,Helsinki,1952,S,Thane BAKER,USA,20.8,seconds,20.8
1871,M,200M,Helsinki,1952,B,James GATHERS,USA,20.8,seconds,20.8
1812,W,200M,Melbourne / Stockholm,1956,G,Betty CUTHBERT,AUS,23.4,seconds,23.4
1814,W,200M,Melbourne / Stockholm,1956,S,Christa STUBNICK,EUA,23.7,seconds,23.7
1815,W,200M,Melbourne / Stockholm,1956,B,Marlene MATHEWS-WILLARD,AUS,23.8,seconds,23.8
1865,M,200M,Melbourne / Stockholm,1956,G,Bobby MORROW,USA,20.6,seconds,20.6
1869,M,200M,Melbourne / Stockholm,1956,S,Andy STANFIELD,USA,20.7,seconds,20.7
1872,M,200M,Melbourne / Stockholm,1956,B,Thane BAKER,USA,20.9,seconds,20.9
1816,W,200M,Rome,1960,G,Wilma RUDOLPH,USA,24,seconds,24.0
1819,W,200M,Rome,1960,S,Jutta HEINE,EUA,24.4,seconds,24.4
1821,W,200M,Rome,1960,B,Dorothy HYMAN,GBR,24.7,seconds,24.7
1861,M,200M,Rome,1960,G,Livio BERRUTI,ITA,20.5,seconds,20.5
1863,M,200M,Rome,1960,S,Lester Nelson CARNEY,USA,20.6,seconds,20.6
1866,M,200M,Rome,1960,B,Abdoulaye SEYE,FRA,20.7,seconds,20.7
1809,W,200M,Tokyo,1964,G,Edith MCGUIRE,USA,23,seconds,23.0
1810,W,200M,Tokyo,1964,S,Irena KIRSZENSTEIN,POL,23.1,seconds,23.1
1811,W,200M,Tokyo,1964,B,Marilyn BLACK,AUS,23.1,seconds,23.1
1858,M,200M,Tokyo,1964,G,Henry CARR,USA,20.3,seconds,20.3
1862,M,200M,Tokyo,1964,S,Paul DRAYTON,USA,20.5,seconds,20.5
1864,M,200M,Tokyo,1964,B,Edwin ROBERTS,TTO,20.6,seconds,20.6
1805,W,200M,Mexico,1968,G,Irena KIRSZENSTEIN,POL,22.5,seconds,22.5
1806,W,200M,Mexico,1968,S,Raelene Ann BOYLE,AUS,22.7,seconds,22.7
1808,W,200M,Mexico,1968,B,Jennifer LAMY,AUS,22.8,seconds,22.8
1832,M,200M,Mexico,1968,G,Tommie SMITH,USA,19.8,seconds,19.8
1838,M,200M,Mexico,1968,S,Peter NORMAN,AUS,20,seconds,20.0
1839,M,200M,Mexico,1968,B,John CARLOS,USA,20,seconds,20.0
1802,W,200M,Munich,1972,G,Renate STECHER,GDR,22.4,seconds,22.4
1803,W,200M,Munich,1972,S,Raelene Ann BOYLE,AUS,22.45,seconds,22.45
1807,W,200M,Munich,1972,B,Irena KIRSZENSTEIN,POL,22.74,seconds,22.74
1840,M,200M,Munich,1972,G,Valery BORZOV,URS,20,seconds,20.0
1850,M,200M,Munich,1972,S,Larry BLACK,USA,20.19,seconds,20.19
1857,M,200M,Munich,1972,B,Pietro MENNEA,ITA,20.3,seconds,20.3
1799,W,200M,Montreal,1976,G,BÃ¤rbel ECKERT-WÃCKEL,GDR,22.37,seconds,22.37
1801,W,200M,Montreal,1976,S,Annegret RICHTER-IRRGANG,FRG,22.39,seconds,22.39
1804,W,200M,Montreal,1976,B,Renate STECHER,GDR,22.47,seconds,22.47
1853,M,200M,Montreal,1976,G,Donald QUARRIE,JAM,20.23,seconds,20.23
1855,M,200M,Montreal,1976,S,Millard Frank Jr. HAMPTON,USA,20.29,seconds,20.29
1860,M,200M,Montreal,1976,B,Dwayne Eugene EVANS,USA,20.43,seconds,20.43
1782,W,200M,Moscow,1980,G,BÃ¤rbel ECKERT-WÃCKEL,GDR,22.03,seconds,22.03
1792,W,200M,Moscow,1980,S,Natalia BOCHINA,URS,22.19,seconds,22.19
1793,W,200M,Moscow,1980,B,Merlene OTTEY,JAM,22.2,seconds,22.2
1849,M,200M,Moscow,1980,G,Pietro MENNEA,ITA,20.19,seconds,20.19
1852,M,200M,Moscow,1980,S,Allan WELLS,GBR,20.21,seconds,20.21
1856,M,200M,Moscow,1980,B,Donald QUARRIE,JAM,20.29,seconds,20.29
1776,W,200M,Los Angeles,1984,G,Valerie BRISCO,USA,21.81,seconds,21.81
1783,W,200M,Los Angeles,1984,S,Florence GRIFFITH JOYNER,USA,22.04,seconds,22.04
1786,W,200M,Los Angeles,1984,B,Merlene OTTEY,JAM,22.09,seconds,22.09
1831,M,200M,Los Angeles,1984,G,Carl LEWIS,USA,19.8,seconds,19.8
1836,M,200M,Los Angeles,1984,S,Kirk BAPTISTE,USA,19.96,seconds,19.96
1854,M,200M,Los Angeles,1984,B,Thomas JEFFERSON,USA,20.26,seconds,20.26
1775,W,200M,Barcelona,1992,G,Gwen TORRENCE,USA,21.81,seconds,21.81
1781,W,200M,Barcelona,1992,S,Juliet CUTHBERT,JAM,22.02,seconds,22.02
1785,W,200M,Barcelona,1992,B,Merlene OTTEY,JAM,22.09,seconds,22.09
1841,M,200M,Barcelona,1992,G,Michael MARSH,USA,20.01,seconds,20.01
1847,M,200M,Barcelona,1992,S,Frank FREDERICKS,NAM,20.13,seconds,20.13
1859,M,200M,Barcelona,1992,B,Michael BATES,USA,20.38,seconds,20.38
1788,W,200M,Atlanta,1996,G,Marie-JosÃ© PÃREC,FRA,22.12,seconds,22.12
1794,W,200M,Atlanta,1996,S,Merlene OTTEY,JAM,22.24,seconds,22.24
1800,W,200M,Atlanta,1996,B,Mary ONYALI,NGR,22.38,seconds,22.38
1826,M,200M,Atlanta,1996,G,Michael JOHNSON,USA,19.32,seconds,19.32
1828,M,200M,Atlanta,1996,S,Frank FREDERICKS,NAM,19.68,seconds,19.68
1833,M,200M,Atlanta,1996,B,Ato BOLDON,TTO,19.8,seconds,19.8
1795,W,200M,Sydney,2000,G,Pauline DAVIS,BAH,22.27,seconds,22.27
1796,W,200M,Sydney,2000,S,Susanthika JAYASINGHE,SRI,22.28,seconds,22.28
1798,W,200M,Sydney,2000,B,Beverly MCDONALD,JAM,22.35,seconds,22.35
1845,M,200M,Sydney,2000,G,Kostas KENTERIS,GRE,20.09,seconds,20.09
1848,M,200M,Sydney,2000,S,Darren CAMPBELL,GBR,20.14,seconds,20.14
1851,M,200M,Sydney,2000,B,Ato BOLDON,TTO,20.2,seconds,20.2
1784,W,200M,Athens,2004,G,Veronica CAMPBELL-BROWN,JAM,22.05,seconds,22.05
1791,W,200M,Athens,2004,S,Allyson FELIX,USA,22.18,seconds,22.18
1797,W,200M,Athens,2004,B,Debbie FERGUSON-MCKENZIE,BAH,22.3,seconds,22.3
1830,M,200M,Athens,2004,G,Shawn CRAWFORD,USA,19.79,seconds,19.79
1842,M,200M,Athens,2004,S,Bernard WILLIAMS III,USA,20.01,seconds,20.01
1844,M,200M,Athens,2004,B,Justin GATLIN,USA,20.03,seconds,20.03
1773,W,200M,Beijing,2008,G,Veronica CAMPBELL-BROWN,JAM,21.74,seconds,21.74
1779,W,200M,Beijing,2008,S,Allyson FELIX,USA,21.93,seconds,21.93
1780,W,200M,Beijing,2008,B,Kerron STEWART,JAM,22,seconds,22.0
1824,M,200M,Beijing,2008,G,Usain BOLT,JAM,19.3,seconds,19.3
1835,M,200M,Beijing,2008,S,Shawn CRAWFORD,USA,19.96,seconds,19.96
1837,M,200M,Beijing,2008,B,Walter DIX,USA,19.98,seconds,19.98
1778,W,200M,London,2012,G,Allyson FELIX,USA,21.88,seconds,21.88
1787,W,200M,London,2012,S,Shelly-Ann FRASER-PRYCE,JAM,22.09,seconds,22.09
1789,W,200M,London,2012,B,Carmelita JETER,USA,22.14,seconds,22.14
1825,M,200M,London,2012,G,Usain BOLT,JAM,19.32,seconds,19.32
1827,M,200M,London,2012,S,Yohan BLAKE,JAM,19.44,seconds,19.44
1834,M,200M,London,2012,B,Warren WEIR,JAM,19.84,seconds,19.84
1774,W,200M,Rio,2016,G,Elaine THOMPSON,JAM,21.78,seconds,21.78
1777,W,200M,Rio,2016,S,Dafne SCHIPPERS,NED,21.88,seconds,21.88
1790,W,200M,Rio,2016,B,Tori BOWIE,USA,22.15,seconds,22.15
1829,M,200M,Rio,2016,G,Usain BOLT,JAM,19.78,seconds,19.78
1843,M,200M,Rio,2016,S,Andre DE GRASSE,CAN,20.02,seconds,20.02
1846,M,200M,Rio,2016,B,Christophe LEMAITRE,FRA,20.12,seconds,20.12
1763,M,20Km Race Walk,Melbourne / Stockholm,1956,G,Leonid SPIRIN,URS,1:31:27.4,seconds,5487.4
1765,M,20Km Race Walk,Melbourne / Stockholm,1956,S,Antanas MIKENAS,URS,1:32:03.0,seconds,5523.0
1766,M,20Km Race Walk,Melbourne / Stockholm,1956,B,Bruno JUNK,URS,1:32:12.0,seconds,5532.0
1770,M,20Km Race Walk,Rome,1960,G,Vladimir GOLUBNICHY,URS,1:34:07.2,seconds,5647.2
1771,M,20Km Race Walk,Rome,1960,S,Noel FREEMAN,AUS,1:34:16.4,seconds,5656.4
1772,M,20Km Race Walk,Rome,1960,B,Stanley Frank VICKERS,GBR,1:34:56.4,seconds,5696.4
1761,M,20Km Race Walk,Tokyo,1964,G,Kenneth Joseph MATTHEWS,GBR,1:29:34.0,seconds,5374.0
1762,M,20Km Race Walk,Tokyo,1964,S,Dieter LINDNER,EUA,1:31:13.2,seconds,5473.2
1764,M,20Km Race Walk,Tokyo,1964,B,Vladimir GOLUBNICHY,URS,1:31:59.4,seconds,5519.4
1767,M,20Km Race Walk,Mexico,1968,G,Vladimir GOLUBNICHY,URS,1:33:58.4,seconds,5638.4
1768,M,20Km Race Walk,Mexico,1968,S,JosÃ© PEDRAZA,MEX,1:34:00.0,seconds,5640.0
1769,M,20Km Race Walk,Mexico,1968,B,Nikolay SMAGA,URS,1:34:03.4,seconds,5643.4
1758,M,20Km Race Walk,Munich,1972,G,Peter FRENKEL,GDR,1:26:42.4,seconds,5202.4
1759,M,20Km Race Walk,Munich,1972,S,Vladimir GOLUBNICHY,URS,1:26:55.2,seconds,5215.2
1760,M,20Km Race Walk,Munich,1972,B,Hans REIMANN,GDR,1:27:16.6,seconds,5236.6
1753,M,20Km Race Walk,Montreal,1976,G,Daniel BAUTISTA ROCHA,MEX,1:24:40.6,seconds,5080.6
1755,M,20Km Race Walk,Montreal,1976,S,Hans REIMANN,GDR,1:25:13.8,seconds,5113.8
1756,M,20Km Race Walk,Montreal,1976,B,Peter FRENKEL,GDR,1:25:29.4,seconds,5129.4
1752,M,20Km Race Walk,Moscow,1980,G,Maurizio DAMILANO,ITA,1:23:35.5,seconds,5015.5
1754,M,20Km Race Walk,Moscow,1980,S,Piotr POCHINCHUK,URS,1:24:45.4,seconds,5085.4
1757,M,20Km Race Walk,Moscow,1980,B,Roland WIESER,GDR,1:25:58.2,seconds,5158.2
1749,M,20Km Race Walk,Los Angeles,1984,G,Ernesto CANTO,MEX,1:23:13,seconds,4993.0
1750,M,20Km Race Walk,Los Angeles,1984,S,RaÃºl GONZÃLEZ,MEX,1:23:20,seconds,5000.0
1751,M,20Km Race Walk,Los Angeles,1984,B,Maurizio DAMILANO,ITA,1:23:26,seconds,5006.0
1739,M,20Km Race Walk,Seoul,1988,G,Jozef PRIBILINEC,TCH,1:19:57,seconds,4797.0
1740,M,20Km Race Walk,Seoul,1988,S,Ronald WEIGEL,GDR,1:20:00,seconds,4800.0
1743,M,20Km Race Walk,Seoul,1988,B,Maurizio DAMILANO,ITA,1:20:14,seconds,4814.0
1746,M,20Km Race Walk,Barcelona,1992,G,Daniel PLAZA,ESP,1:21:45,seconds,4905.0
1747,M,20Km Race Walk,Barcelona,1992,S,Guillaume LEBLANC,CAN,1:22:25,seconds,4945.0
1748,M,20Km Race Walk,Barcelona,1992,B,Giovanni DE BENEDICTIS,ITA,1:23:11,seconds,4991.0
1742,M,20Km Race Walk,Atlanta,1996,G,Jefferson PEREZ,ECU,1:20:07,seconds,4807.0
1744,M,20Km Race Walk,Atlanta,1996,S,Ilya MARKOV,RUS,1:20:16,seconds,4816.0
1745,M,20Km Race Walk,Atlanta,1996,B,Bernardo SEGURA,MEX,1:20:23,seconds,4823.0
1718,W,20Km Race Walk,Sydney,2000,G,Liping WANG,CHN,1:29:05,seconds,5345.0
1719,W,20Km Race Walk,Sydney,2000,G,Liping WANG,CHN,1:29:05,seconds,5345.0
1723,W,20Km Race Walk,Sydney,2000,S,Kjersti PLAETZER,NOR,1:29:33,seconds,5373.0
1724,W,20Km Race Walk,Sydney,2000,B,Maria VASCO,ESP,1:30:23,seconds,5423.0
1727,M,20Km Race Walk,Sydney,2000,G,Robert KORZENIOWSKI,POL,1:18:59,seconds,4739.0
1729,M,20Km Race Walk,Sydney,2000,S,Noe HERNANDEZ,MEX,1:19:03,seconds,4743.0
1734,M,20Km Race Walk,Sydney,2000,B,Vladimir ANDREYEV,RUS,1:19:27,seconds,4767.0
1720,W,20Km Race Walk,Athens,2004,G,Athanasia TSOUMELEKA,GRE,1:29:12,seconds,5352.0
1721,W,20Km Race Walk,Athens,2004,S,Olimpiada IVANOVA,RUS,1:29:16,seconds,5356.0
1722,W,20Km Race Walk,Athens,2004,B,Jane SAVILLE,AUS,1:29:25,seconds,5365.0
1736,M,20Km Race Walk,Athens,2004,G,Ivano BRUGNETTI,ITA,1:19:40,seconds,4780.0
1738,M,20Km Race Walk,Athens,2004,S,Francisco Javier FERNANDEZ,ESP,1:19:45,seconds,4785.0
1741,M,20Km Race Walk,Athens,2004,B,Nathan DEAKES,AUS,1:20:02,seconds,4802.0
1712,W,20Km Race Walk,Beijing,2008,G,Olga KANISKINA,RUS,1:26:31,seconds,5191.0
1713,W,20Km Race Walk,Beijing,2008,S,Kjersti PLAETZER,NOR,1:27:07,seconds,5227.0
1714,W,20Km Race Walk,Beijing,2008,B,Elisa RIGAUDO,ITA,1:27:12,seconds,5232.0
1728,M,20Km Race Walk,Beijing,2008,G,Valeriy BORCHIN,RUS,1:19:01,seconds,4741.0
1731,M,20Km Race Walk,Beijing,2008,S,Jefferson PEREZ,ECU,1:19:15,seconds,4755.0
1737,M,20Km Race Walk,Beijing,2008,B,Jared TALLENT,AUS,1:19:42,seconds,4782.0
1710,W,20Km Race Walk,London,2012,G,Elena LASHMANOVA,RUS,1:25:02,seconds,5102.0
1711,W,20Km Race Walk,London,2012,B,Shenjie QIEYANG,CHN,1:25:16,seconds,5116.0
1725,M,20Km Race Walk,London,2012,G,Ding CHEN,CHN,1:18:46,seconds,4726.0
1726,M,20Km Race Walk,London,2012,S,Erick BARRONDO,GUA,1:18:57,seconds,4737.0
1732,M,20Km Race Walk,London,2012,B,Zhen WANG,CHN,1:19:25,seconds,4765.0
1715,W,20Km Race Walk,Rio,2016,G,Hong LIU,CHN,1:28:35,seconds,5315.0
1716,W,20Km Race Walk,Rio,2016,S,Maria Guadalupe GONZALEZ,MEX,1:28:37,seconds,5317.0
1717,W,20Km Race Walk,Rio,2016,B,Xiuzhi LU,CHN,1:28:42,seconds,5322.0
1730,M,20Km Race Walk,Rio,2016,G,Zhen WANG,CHN,1:19:14,seconds,4754.0
1733,M,20Km Race Walk,Rio,2016,S,Zelin CAI,CHN,1:19:26,seconds,4766.0
1735,M,20Km Race Walk,Rio,2016,B,Dane BIRD-SMITH,AUS,1:19:37,seconds,4777.0
1642,M,3000M Steeplechase,Paris,1900,G,George ORTON,CAN,07:34.4,seconds,454.4
1643,M,3000M Steeplechase,Paris,1900,S,Sidney ROBINSON,GBR,07:38.0,seconds,458.0
1644,M,3000M Steeplechase,St Louis,1904,G,James LIGHTBODY,USA,07:39.6,seconds,459.6
1645,M,3000M Steeplechase,St Louis,1904,S,John DALY,GBR,07:40.6,seconds,460.6
1706,M,3000M Steeplechase,Antwerp,1920,G,Percy HODGE,GBR,10:00.4,seconds,600.4
1702,M,3000M Steeplechase,Paris,1924,G,Ville RITOLA,FIN,09:33.6,seconds,573.6
1704,M,3000M Steeplechase,Paris,1924,S,Elias KATZ,FIN,09:44.0,seconds,584.0
1705,M,3000M Steeplechase,Paris,1924,B,Paul BONTEMPS,FRA,09:45.2,seconds,585.2
1700,M,3000M Steeplechase,Amsterdam,1928,G,Toivo LOUKOLA,FIN,09:21.8,seconds,561.8
1701,M,3000M Steeplechase,Amsterdam,1928,S,Paavo NURMI,FIN,09:31.2,seconds,571.2
1703,M,3000M Steeplechase,Amsterdam,1928,B,Ove ANDERSEN,FIN,09:35.6,seconds,575.6
1707,M,3000M Steeplechase,Los Angeles,1932,G,Volmari ISO-HOLLO,FIN,10:33.4,seconds,633.4
1708,M,3000M Steeplechase,Los Angeles,1932,S,Thomas EVENSON,GBR,10:46.0,seconds,646.0
1709,M,3000M Steeplechase,Los Angeles,1932,B,Joseph MCCLUSKEY,USA,10:46.2,seconds,646.2
1694,M,3000M Steeplechase,Berlin,1936,G,Volmari ISO-HOLLO,FIN,09:03.8,seconds,543.8
1696,M,3000M Steeplechase,Berlin,1936,S,Kaarlo Jalmari TUOMINEN,FIN,09:06.8,seconds,546.8
1697,M,3000M Steeplechase,Berlin,1936,B,Alfred DOMPERT,GER,09:07.2,seconds,547.2
1695,M,3000M Steeplechase,London,1948,G,Tore SJÃSTRAND,SWE,09:04.6,seconds,544.6
1698,M,3000M Steeplechase,London,1948,S,Fritz Erik ELMSÃ?TER,SWE,09:08.2,seconds,548.2
1699,M,3000M Steeplechase,London,1948,B,Gote Ernst HAGSTROM,SWE,09:11.8,seconds,551.8
1688,M,3000M Steeplechase,Helsinki,1952,G,Horace ASHENFELTER,USA,08:45.4,seconds,525.4
1691,M,3000M Steeplechase,Helsinki,1952,S,Vladimir KAZANTSEV,URS,08:51.6,seconds,531.6
1693,M,3000M Steeplechase,Helsinki,1952,B,John DISLEY,GBR,08:51.8,seconds,531.8
1684,M,3000M Steeplechase,Melbourne / Stockholm,1956,G,Christopher William BRASHER,GBR,08:41.2,seconds,521.2
1686,M,3000M Steeplechase,Melbourne / Stockholm,1956,S,SÃÂ¡ndor ROZSNYÃ?I,HUN,08:43.6,seconds,523.6
1687,M,3000M Steeplechase,Melbourne / Stockholm,1956,B,Ernst LARSEN,NOR,08:44.0,seconds,524.0
1682,M,3000M Steeplechase,Rome,1960,G,Zdzislaw KRZYSZKOWIAK,POL,08:34.2,seconds,514.2
1683,M,3000M Steeplechase,Rome,1960,S,Nikolay SOKOLOV,URS,08:36.4,seconds,516.4
1685,M,3000M Steeplechase,Rome,1960,B,Semyon RZISHCHIN,URS,08:42.2,seconds,522.2
1679,M,3000M Steeplechase,Tokyo,1964,G,Gaston ROELANTS,BEL,08:30.8,seconds,510.8
1680,M,3000M Steeplechase,Tokyo,1964,S,Maurice HERRIOTT,GBR,08:32.4,seconds,512.4
1681,M,3000M Steeplechase,Tokyo,1964,B,Ivan BELYAEV,URS,08:33.8,seconds,513.8
1689,M,3000M Steeplechase,Mexico,1968,G,Amos BIWOTT,KEN,08:51.0,seconds,531.0
1690,M,3000M Steeplechase,Mexico,1968,S,Benjamin KOGO,KEN,08:51.6,seconds,531.6
1692,M,3000M Steeplechase,Mexico,1968,B,George YOUNG,USA,08:51.8,seconds,531.8
1676,M,3000M Steeplechase,Munich,1972,G,Kip KEINO,KEN,08:23.6,seconds,503.6
1677,M,3000M Steeplechase,Munich,1972,S,Ben JIPCHO,KEN,08:24.6,seconds,504.6
1678,M,3000M Steeplechase,Munich,1972,B,Tapio KANTANEN,FIN,08:24.7,seconds,504.7
1652,M,3000M Steeplechase,Montreal,1976,G,Anders GARDERUD,SWE,08:08.0,seconds,488.0
1655,M,3000M Steeplechase,Montreal,1976,S,Bronislaw MALINOWSKI,POL,08:09.1,seconds,489.1
1659,M,3000M Steeplechase,Montreal,1976,B,Frank BAUMGARTL,GDR,08:10.4,seconds,490.4
1657,M,3000M Steeplechase,Moscow,1980,G,Bronislaw MALINOWSKI,POL,08:09.7,seconds,489.7
1666,M,3000M Steeplechase,Moscow,1980,S,Filbert BAYI,TAN,08:12.5,seconds,492.5
1668,M,3000M Steeplechase,Moscow,1980,B,Eshetu TURA,ETH,08:13.6,seconds,493.6
1665,M,3000M Steeplechase,Los Angeles,1984,G,Julius KORIR,KEN,08:11.8,seconds,491.8
1667,M,3000M Steeplechase,Los Angeles,1984,S,Joseph MAHMOUD,FRA,08:13.3,seconds,493.3
1669,M,3000M Steeplechase,Los Angeles,1984,B,Brian Lee DIEMER,USA,08:14.1,seconds,494.1
1654,M,3000M Steeplechase,Barcelona,1992,G,Matthew BIRIR,KEN,08:08.8,seconds,488.8
1656,M,3000M Steeplechase,Barcelona,1992,S,Patrick SANG,KEN,08:09.6,seconds,489.6
1661,M,3000M Steeplechase,Barcelona,1992,B,William MUTWOL,KEN,08:10.7,seconds,490.7
1651,M,3000M Steeplechase,Atlanta,1996,G,Joseph KETER,KEN,08:07.1,seconds,487.1
1653,M,3000M Steeplechase,Atlanta,1996,S,Moses KIPTANUI,KEN,08:08.3,seconds,488.3
1663,M,3000M Steeplechase,Atlanta,1996,B,Alessandro LAMBRUSCHINI,ITA,08:11.3,seconds,491.3
1673,M,3000M Steeplechase,Sydney,2000,G,Reuben KOSGEI,KEN,08:21.4,seconds,501.4
1674,M,3000M Steeplechase,Sydney,2000,S,Wilson Boit KIPKETER,KEN,08:21.8,seconds,501.8
1675,M,3000M Steeplechase,Sydney,2000,B,Ali EZZINE,MAR,08:22.2,seconds,502.2
1648,M,3000M Steeplechase,Athens,2004,G,Ezekiel KEMBOI,KEN,08:05.8,seconds,485.8
1649,M,3000M Steeplechase,Athens,2004,S,Brimin Kiprop KIPRUTO,KEN,08:06.1,seconds,486.1
1650,M,3000M Steeplechase,Athens,2004,B,Paul Kipsiele KOECH,KEN,08:06.6,seconds,486.6
1634,W,3000M Steeplechase,Beijing,2008,G,Gulnara SAMITOVA,RUS,08:58.8,seconds,538.8
1637,W,3000M Steeplechase,Beijing,2008,S,Eunice JEPKORIR,KEN,09:07.4,seconds,547.4
1658,M,3000M Steeplechase,Beijing,2008,G,Brimin Kiprop KIPRUTO,KEN,08:10.3,seconds,490.3
1660,M,3000M Steeplechase,Beijing,2008,S,Mahiedine MEKHISSI-BENABBAD,FRA,08:10.5,seconds,490.5
1662,M,3000M Steeplechase,Beijing,2008,B,Richard Kipkemboi MATEELONG,KEN,08:11.0,seconds,491.0
1639,W,3000M Steeplechase,London,2012,G,Habiba GHRIBI,TUN,09:08.4,seconds,548.4
1640,W,3000M Steeplechase,London,2012,S,Sofia ASSEFA,ETH,09:09.8,seconds,549.8
1641,W,3000M Steeplechase,London,2012,B,Milcah Chemos CHEYWA,KEN,09:09.9,seconds,549.9
1670,M,3000M Steeplechase,London,2012,G,Ezekiel KEMBOI,KEN,08:18.6,seconds,498.6
1671,M,3000M Steeplechase,London,2012,S,Mahiedine MEKHISSI-BENABBAD,FRA,08:19.1,seconds,499.1
1672,M,3000M Steeplechase,London,2012,B,Abel Kiprop MUTAI,KEN,08:19.7,seconds,499.7
1635,W,3000M Steeplechase,Rio,2016,G,Ruth JEBET,BRN,08:59.8,seconds,539.8
1636,W,3000M Steeplechase,Rio,2016,S,Hyvin Kiyeng JEPKEMOI,KEN,09:07.1,seconds,547.1
1638,W,3000M Steeplechase,Rio,2016,B,Emma COBURN,USA,09:07.6,seconds,547.6
1646,M,3000M Steeplechase,Rio,2016,G,Conseslus KIPRUTO,KEN,08:03.3,seconds,483.3
1647,M,3000M Steeplechase,Rio,2016,S,Evan JAGER,USA,08:04.3,seconds,484.3
1664,M,3000M Steeplechase,Rio,2016,B,Mahiedine MEKHISSI,FRA,08:11.5,seconds,491.5
1536,M,400M,Athens,1896,G,Thomas BURKE,USA,54.2,seconds,54.2
1537,M,400M,Athens,1896,S,Herbert JAMISON,USA,55.2,seconds,55.2
1538,M,400M,Athens,1896,B,Charles GMELIN,GBR,55.6,seconds,55.6
1531,M,400M,Paris,1900,G,Maxwell Warburn LONG,USA,49.4,seconds,49.4
1532,M,400M,Paris,1900,S,William HOLLAND,USA,49.6,seconds,49.6
1530,M,400M,St Louis,1904,G,Harry HILLMAN,USA,49.2,seconds,49.2
1533,M,400M,St Louis,1904,S,Frank WALLER,USA,49.9,seconds,49.9
1535,M,400M,St Louis,1904,B,Herman GROMAN,USA,50,seconds,50.0
1534,M,400M,London,1908,G,Wyndham HALSWELLE,GBR,50,seconds,50.0
1460,M,400M,Stockholm,1912,G,Charles REIDPATH,USA,00:48.2,seconds,48.2
1461,M,400M,Stockholm,1912,S,Hanns BRAUN,GER,00:48.3,seconds,48.3
1462,M,400M,Stockholm,1912,B,Edward LINDBERG,USA,00:48.4,seconds,48.4
1463,M,400M,Antwerp,1920,G,Bevil RUDD,RSA,00:49.6,seconds,49.6
1464,M,400M,Antwerp,1920,S,Guy BUTLER,GBR,00:49.9,seconds,49.9
1465,M,400M,Antwerp,1920,B,Nils ENGDAHL,SWE,00:50.0,seconds,50.0
1524,M,400M,Paris,1924,G,Eric LIDDELL,GBR,47.6,seconds,47.6
1528,M,400M,Paris,1924,S,Horatio FITCH,USA,48.4,seconds,48.4
1529,M,400M,Paris,1924,B,Guy BUTLER,GBR,48.6,seconds,48.6
1525,M,400M,Amsterdam,1928,G,Raymond James BARBUTI,USA,47.8,seconds,47.8
1526,M,400M,Amsterdam,1928,S,James BALL,CAN,48,seconds,48.0
1527,M,400M,Amsterdam,1928,B,Joachim BÃCHNER,GER,48.2,seconds,48.2
1511,M,400M,Los Angeles,1932,G,William Arthur CARR,USA,46.2,seconds,46.2
1513,M,400M,Los Angeles,1932,S,Benjamin Bangs EASTMAN,USA,46.4,seconds,46.4
1523,M,400M,Los Angeles,1932,B,Alex WILSON,CAN,47.4,seconds,47.4
1514,M,400M,Berlin,1936,G,Archibald Franklin WILLIAMS,USA,46.5,seconds,46.5
1515,M,400M,Berlin,1936,S,Godfrey BROWN,GBR,46.7,seconds,46.7
1518,M,400M,Berlin,1936,B,James Ellis LU VALLE,USA,46.8,seconds,46.8
1510,M,400M,London,1948,G,Arthur WINT,JAM,46.2,seconds,46.2
1512,M,400M,London,1948,S,Herbert MCKENLEY,JAM,46.4,seconds,46.4
1520,M,400M,London,1948,B,Mal WHITFIELD,USA,46.9,seconds,46.9
1508,M,400M,Helsinki,1952,G,George RHODEN,JAM,45.9,seconds,45.9
1509,M,400M,Helsinki,1952,S,Herbert MCKENLEY,JAM,45.9,seconds,45.9
1517,M,400M,Helsinki,1952,B,Ollie MATSON,USA,46.8,seconds,46.8
1516,M,400M,Melbourne / Stockholm,1956,G,Charles JENKINS,USA,46.7,seconds,46.7
1519,M,400M,Melbourne / Stockholm,1956,S,Karl-Friedrich HAAS,EUA,46.8,seconds,46.8
1521,M,400M,Melbourne / Stockholm,1956,B,Voitto HELLSTEN,FIN,47,seconds,47.0
1522,M,400M,Melbourne / Stockholm,1956,B,Ardalion IGNATYEV,URS,47,seconds,47.0
1500,M,400M,Rome,1960,G,Otis DAVIS,USA,44.9,seconds,44.9
1501,M,400M,Rome,1960,S,Carl KAUFMANN,EUA,44.9,seconds,44.9
1506,M,400M,Rome,1960,B,Malcolm SPENCE,RSA,45.5,seconds,45.5
1455,W,400M,Tokyo,1964,G,Betty CUTHBERT,AUS,52,seconds,52.0
1458,W,400M,Tokyo,1964,S,Ann PACKER,GBR,52.2,seconds,52.2
1459,W,400M,Tokyo,1964,B,Judith Florence AMOORE-POLLOCK,AUS,53.4,seconds,53.4
1504,M,400M,Tokyo,1964,G,Mike LARRABEE,USA,45.1,seconds,45.1
